9.02.2018;7;8;24;34;46;4;8
2.02.2018;15;24;29;33;41;7;8
26.01.2018;10;23;26;29;35;3;5
19.01.2018;3;9;17;45;47;4;9
12.01.2018;16;17;25;40;44;2;9
5.01.2018;2;7;38;40;45;7;10
29.12.2017;16;30;33;40;43;2;4
22.12.2017;16;26;32;40;47;1;6
15.12.2017;1;7;12;16;18;1;4
8.12.2017;9;15;20;24;34;1;5
1.12.2017;5;16;20;29;30;2;7
24.11.2017;11;16;18;22;43;7;8
17.11.2017;3;4;17;41;47;2;5
10.11.2017;1;14;17;24;50;8;9
3.11.2017;2;35;44;45;50;6;7
27.10.2017;2;20;23;29;50;4;5
20.10.2017;1;10;25;46;49;1;6
13.10.2017;9;40;43;44;46;1;8
6.10.2017;5;17;28;40;44;1;8
29.09.2017;2;12;15;29;44;7;10
22.09.2017;10;17;32;36;47;2;5
15.09.2017;15;22;29;33;47;3;7
8.09.2017;11;38;40;42;48;4;5
1.09.2017;3;4;9;19;28;1;7
25.08.2017;11;20;28;41;45;5;9
18.08.2017;1;4;20;32;34;3;6
11.08.2017;13;14;21;23;40;1;3
4.08.2017;18;39;44;46;47;4;6
28.07.2017;14;18;26;40;45;1;5
21.07.2017;27;35;36;38;48;2;3
14.07.2017;3;9;25;31;49;8;9
7.07.2017;15;16;17;23;30;6;9
30.06.2017;1;3;11;18;31;3;6
23.06.2017;6;14;19;27;35;2;4
16.06.2017;1;24;25;31;38;1;7
9.06.2017;13;17;20;24;47;5;8
2.06.2017;2;4;17;20;46;1;8
26.05.2017;3;11;13;15;23;1;9
19.05.2017;22;33;41;46;50;2;6
12.05.2017;7;14;31;35;46;1;2
5.05.2017;8;11;23;41;42;6;8
28.04.2017;3;38;39;41;45;3;5
21.04.2017;27;31;44;46;49;6;8
14.04.2017;6;22;33;46;49;1;5
7.04.2017;10;27;43;45;46;4;8
31.03.2017;8;14;34;40;44;1;7
24.03.2017;25;26;30;36;44;3;9
17.03.2017;3;16;25;38;45;7;8
10.03.2017;13;18;20;35;46;7;8
3.03.2017;3;7;16;18;25;2;10
24.02.2017;1;7;13;19;20;6;8
17.02.2017;7;18;19;40;49;5;6
10.02.2017;13;23;31;42;44;2;5
3.02.2017;4;5;17;39;47;3;4
27.01.2017;12;15;19;29;48;7;9
20.01.2017;5;23;25;35;40;5;8
13.01.2017;2;21;26;44;45;1;6
6.01.2017;7;14;23;27;35;3;5
30.12.2016;27;30;45;47;50;1;9
23.12.2016;13;27;30;42;46;3;4
16.12.2016;2;3;24;25;34;6;8
9.12.2016;12;17;29;44;50;2;10
2.12.2016;1;20;39;48;50;3;7
25.11.2016;19;28;34;45;49;1;6
18.11.2016;7;10;16;32;40;1;6
11.11.2016;1;16;18;42;47;6;8
4.11.2016;14;15;16;22;50;2;10
28.10.2016;1;4;6;12;13;1;6
21.10.2016;14;16;28;34;35;3;9
14.10.2016;7;10;25;39;42;3;6
7.10.2016;1;10;20;43;44;6;9
30.09.2016;4;28;29;39;44;8;10
23.09.2016;1;7;23;25;45;5;8
16.09.2016;15;28;30;37;43;2;5
9.09.2016;11;27;34;35;39;6;10
2.09.2016;15;28;30;42;50;1;8
26.08.2016;4;8;9;33;43;5;9
19.08.2016;22;33;42;43;46;6;10
12.08.2016;6;15;18;21;38;1;4
5.08.2016;5;11;12;30;40;2;5
29.07.2016;4;8;22;36;44;5;10
22.07.2016;6;14;20;26;46;2;4
15.07.2016;12;22;36;38;50;2;9
8.07.2016;4;19;21;31;42;5;10
1.07.2016;29;37;38;47;50;2;4
24.06.2016;19;21;24;41;48;1;6
17.06.2016;16;18;19;23;44;1;3
10.06.2016;11;12;26;28;37;8;10
3.06.2016;13;20;32;34;47;6;9
27.05.2016;4;10;26;33;48;5;9
20.05.2016;6;19;23;33;34;4;7
13.05.2016;6;7;36;39;40;1;10
6.05.2016;12;24;38;45;46;6;10
29.04.2016;10;14;20;24;40;2;10
22.04.2016;5;28;31;33;49;1;2
15.04.2016;1;5;17;39;46;6;7
8.04.2016;1;2;16;31;50;1;7
1.04.2016;6;12;21;40;49;8;10
25.03.2016;9;10;19;20;35;3;4
18.03.2016;10;20;35;47;50;4;7
11.03.2016;10;16;31;37;40;3;9
4.03.2016;2;5;10;13;28;3;10
26.02.2016;9;11;19;42;45;7;10
19.02.2016;10;12;28;29;49;3;4
12.02.2016;7;20;21;33;41;1;2
5.02.2016;10;25;35;37;43;5;8
29.01.2016;3;20;32;40;42;4;9
22.01.2016;3;19;26;29;36;4;9
15.01.2016;4;23;25;37;39;1;9
8.01.2016;1;2;5;24;47;3;8
1.01.2016;11;14;35;44;45;5;6
25.12.2015;8;9;33;34;36;3;9
18.12.2015;11;19;27;32;42;5;9
11.12.2015;34;36;37;39;49;8;10
4.12.2015;14;16;26;34;38;2;8
27.11.2015;2;7;13;26;49;3;4
20.11.2015;1;18;20;31;36;5;9
13.11.2015;19;23;26;27;49;3;10
6.11.2015;2;4;8;22;24;3;9
30.10.2015;5;15;16;36;37;3;5
23.10.2015;16;18;34;36;49;6;8
16.10.2015;11;19;38;42;46;3;9
9.10.2015;13;14;23;26;31;3;9
2.10.2015;7;9;28;39;47;2;8
25.09.2015;3;5;13;16;30;3;6
18.09.2015;3;7;13;41;48;1;7
11.09.2015;7;22;27;30;31;5;7
4.09.2015;12;23;37;41;46;3;7
28.08.2015;5;8;33;34;46;3;8
21.08.2015;13;20;39;40;42;3;9
14.08.2015;1;7;27;28;41;2;6
7.08.2015;1;9;15;22;49;4;7
31.07.2015;11;19;24;46;49;1;5
24.07.2015;6;12;15;20;30;3;6
17.07.2015;6;21;30;37;44;1;3
10.07.2015;12;35;36;39;47;3;6
3.07.2015;1;31;40;41;45;5;9
26.06.2015;14;27;28;35;47;1;8
19.06.2015;12;14;20;21;39;5;10
12.06.2015;17;23;27;30;39;6;8
5.06.2015;19;38;40;41;50;1;5
29.05.2015;1;6;16;28;38;1;6
22.05.2015;8;23;24;39;50;1;5
15.05.2015;12;14;18;38;46;9;10
8.05.2015;19;31;32;40;46;8;9
1.05.2015;8;24;25;30;50;4;6
24.04.2015;4;17;27;33;46;3;9
17.04.2015;5;6;13;20;33;3;8
10.04.2015;1;18;26;40;47;3;4
3.04.2015;5;34;37;43;48;2;4
27.03.2015;3;26;31;33;50;3;9
20.03.2015;9;11;13;35;38;5;7
13.03.2015;1;10;25;39;44;1;2
6.03.2015;9;16;17;20;32;2;3
27.02.2015;9;28;30;43;49;8;10
20.02.2015;1;16;18;29;44;2;7
13.02.2015;3;7;14;46;48;6;9
6.02.2015;3;19;22;37;39;5;10
